,hotel,arrival_date_month,demand
0,City Hotel,April,7480
1,City Hotel,August,8979
2,City Hotel,December,4132
3,City Hotel,February,4965
4,City Hotel,January,3736
5,City Hotel,July,8088
6,City Hotel,June,7894
7,City Hotel,March,6458
8,City Hotel,May,8232
9,City Hotel,November,4357
10,City Hotel,October,7605
11,City Hotel,September,7400
12,Resort Hotel,April,3609
13,Resort Hotel,August,4894
14,Resort Hotel,December,2648
15,Resort Hotel,February,3103
16,Resort Hotel,January,2193
17,Resort Hotel,July,4573
18,Resort Hotel,June,3045
19,Resort Hotel,March,3336
20,Resort Hotel,May,3559
21,Resort Hotel,November,2437
22,Resort Hotel,October,3555
23,Resort Hotel,September,3108
