,hotel,arrival_date_week_number,demand
0,Resort Hotel,1,343
1,Resort Hotel,2,457
2,Resort Hotel,3,553
3,Resort Hotel,4,519
4,Resort Hotel,5,501
5,Resort Hotel,6,682
6,Resort Hotel,7,904
7,Resort Hotel,8,719
8,Resort Hotel,9,795
9,Resort Hotel,10,727
10,Resort Hotel,11,679
11,Resort Hotel,12,656
12,Resort Hotel,13,811
13,Resort Hotel,14,739
14,Resort Hotel,15,906
15,Resort Hotel,16,755
16,Resort Hotel,17,840
17,Resort Hotel,18,1012
18,Resort Hotel,19,762
19,Resort Hotel,20,769
20,Resort Hotel,21,906
21,Resort Hotel,22,849
22,Resort Hotel,23,752
23,Resort Hotel,24,675
24,Resort Hotel,25,704
25,Resort Hotel,26,721
26,Resort Hotel,27,810
27,Resort Hotel,28,988
28,Resort Hotel,29,1037
29,Resort Hotel,30,1076
30,Resort Hotel,31,1101
31,Resort Hotel,32,1054
32,Resort Hotel,33,1197
33,Resort Hotel,34,1090
34,Resort Hotel,35,951
35,Resort Hotel,36,756
36,Resort Hotel,37,633
37,Resort Hotel,38,774
38,Resort Hotel,39,748
39,Resort Hotel,40,675
40,Resort Hotel,41,857
41,Resort Hotel,42,724
42,Resort Hotel,43,917
43,Resort Hotel,44,726
44,Resort Hotel,45,690
45,Resort Hotel,46,514
46,Resort Hotel,47,708
47,Resort Hotel,48,493
48,Resort Hotel,49,716
49,Resort Hotel,50,449
50,Resort Hotel,51,430
51,Resort Hotel,52,592
52,Resort Hotel,53,618
